山西优尔蓝人力资源有限公司,1080132
太原复阳堂门诊部管理有限公司,1068732
中教智网（北京）信息技术有限公...,1079775
山西聚成绿洲食品股份有限公司,1082198
山西国创科技有限责任公司,1068961
太原曼格商贸有限公司,1080339
太原青朝科技有限公司,1072869
山西良才教育科技有限公司,1079634
山西电机制造有限公司,1074051
山西红太阳家政服务有限公司,1079762
中融国信（北京）资产管理有限公...,1080564
山西华语天成文化传媒有限公司,1076555
华舟腾飞(广州)文化传播有限公司...,1082088
山西棒杰数码针织品制造有限公司,1082393
山西猛虎保安服务集团有限公司,1075385
成都童行科技有限公司,1081824
石家庄翰荣文化传媒有限公司,1081859
山西柒毅文化传媒有限公司,1081449
山西优享生活家政服务有限公司,1082091
太原市瞿含科技有限公司,1081945
山西呈祥科技创新发展有限公司,1081706
兰州智尚聚咨询服务有限公司,1081532
重庆国章再生资源有限公司,1081383
武强县汇景工艺画厂,1072352
山西小鬼闯天涯文化传媒有限公司,1082395
山西宝川建筑装饰安装有限公司,1080343
大连双龙泵业集团有限公司,1080326
山西华晋骨科医院有限公司,1073820
山西薪起点信息科技有限公司,1079945
山西友佳科技有限公司,1076622
山西华亿人力资源有限公司,1073072
山西朗驰科技有限责任公司,1082320
深圳九久文化发展有限公司,1082003
北京链家置地房地产经纪有限公司,1076043
山西盘古百晋广告有限公司,1080537
华顺帛（山西）数字科技有限公司,1082382
贵州智软科技（集团）有限公司,1080456
北京雅祺天使互联文化有限公司,1082011
青岛晟润昌科技有限公司,1081556
山西火柴科技有限公司,1077666
